TRIP_ID,LATITUDE,LONGITUDE
T1,41.14615417118054,-8.584181964980814
T2,41.16370579410787,-8.601832223680207
T3,41.167616033553784,-8.574860985621706
T4,41.14115023587388,-8.61361790171673
T5,41.15247274792991,-8.62017412807442
T6,41.171674392019476,-8.626212108194208
T7,41.154307722271824,-8.581871875138894
T8,41.186434048010845,-8.578590173704853
T9,41.1258126276856,-8.605465401896103
T10,41.199024447384836,-8.586452063347743
T11,41.16891261348659,-8.589397410551276
T12,41.14947368723911,-8.596551197186107
T13,41.157027127444316,-8.586750381920153
T14,41.23689415159151,-8.668000895649048
T15,41.143235356597316,-8.60909469977598
T16,41.212094211535714,-8.652990290285711
T17,41.15517297393626,-8.628973873935458
T18,41.156250850179816,-8.628034102503273
T19,41.163841406504524,-8.589685787793258
T20,41.16035666604876,-8.641020453466975
T21,41.14875055228663,-8.58577623419885
T22,41.13544873160461,-8.611099350622103
T23,41.15660381574914,-8.628823844347389
T24,41.14868958471463,-8.585768532747386
T25,41.14904459432345,-8.641414349533786
T26,41.17253793382113,-8.60938372455566
T27,41.16317352348785,-8.602841937537162
T28,41.1601952675745,-8.594715918396549
T29,41.14615549683114,-8.611163127923144
T30,41.16298642393134,-8.581185346677056
T31,41.16407013495163,-8.582456967192332
T32,41.15506429606117,-8.60995750926437
T33,41.16456698933519,-8.631489163867005
T34,41.17013161547669,-8.578051412146053
T35,41.14411227997826,-8.616900014185598
T36,41.15476557525637,-8.604722213122331
T37,41.18025104882441,-8.692328207473981
T38,41.15458144517474,-8.630728911962187
T39,41.14874243271262,-8.586121164404096
T40,41.140571604486055,-8.616095246505187
T41,41.180165188445244,-8.604148552149807
T42,41.1701519957482,-8.587633137203818
T43,41.145947114297456,-8.613358229255962
T44,41.18741947991835,-8.594070653217011
T45,41.14613587988031,-8.61765134781594
T46,41.15069339831086,-8.595391886131926
T47,41.151729803199224,-8.617796500139805
T48,41.16216167098611,-8.632662552567156
T49,41.16804511151535,-8.552660582330441
T50,41.14997150800929,-8.625776784905902
T51,41.14079781168687,-8.601604154966378
T52,41.14600298582162,-8.610732804275473
T53,41.158769178782684,-8.59883612240015
T54,41.17143494019093,-8.586105675888987
T55,41.15933166701054,-8.600821384776484
T56,41.16431430306619,-8.606325223506984
T57,41.190352436306306,-8.592834405855974
